Designator,Mid X,Mid Y,Rotation,Layer
C1,194.25,-109.75,0.0,top
C2,198.0,-103.5,270.0,top
C3,193.25,-71.06,0.0,top
C5,199.5,-71.06,180.0,top
C6,189.5,-98.0,270.0,top
D1,158.0,-86.75,270.0,bottom
D2,135.0,-86.75,270.0,bottom
D3,112.0,-86.75,270.0,bottom
D4,89.0,-86.75,270.0,bottom
D5,89.0,-119.25,90.0,bottom
D6,112.0,-119.25,90.0,bottom
D7,135.0,-119.25,90.0,bottom
D8,158.0,-119.25,90.0,bottom
H1,77.0,-59.0,0.0,top
H2,77.0,-148.0,0.0,top
H3,213.0,-59.0,0.0,top
H4,213.0,-148.0,0.0,top
J1,182.25,-64.25,180.0,top
Q1,184.25,-119.5,90.0,top
R1,158.0,-86.75,180.0,top
R10,195.25,-112.5,270.0,top
R11,193.25,-112.5,270.0,top
R12,192.6,-97.5,270.0,top
R14,194.25,-97.5,90.0,top
R15,196.0,-97.5,270.0,top
R2,135.0,-86.75,180.0,top
R3,112.0,-86.75,180.0,top
R4,89.0,-86.75,180.0,top
R5,89.0,-119.25,0.0,top
R6,112.0,-119.25,0.0,top
R7,135.0,-119.25,0.0,top
R8,158.0,-119.25,0.0,top
R9,197.5,-122.0,0.0,top
U1,194.25,-104.0,180.0,top
U2,196.54,-65.0,90.0,top
