Designator,Mid X,Mid Y,Rotation,Layer
C1,228.0,-90.25,0.0,top
C2,228.0,-95.0,0.0,top
C3,227.75,-111.5,0.0,top
C4,227.75,-115.0,0.0,top
C5,227.75,-118.5,0.0,top
C6,227.75,-122.0,0.0,top
D1,89.0,-65.0,270.0,bottom
D2,135.0,-65.0,270.0,bottom
D3,181.0,-65.0,270.0,bottom
D4,89.0,-65.0,270.0,top
D5,135.0,-65.0,270.0,top
D6,181.0,-65.0,270.0,top
H1,77.0,-59.0,0.0,top
H2,77.0,-148.0,0.0,top
H3,213.0,-148.0,0.0,top
H4,213.0,-59.0,0.0,top
J1,227.0,-79.25,90.0,top
J2,227.0,-130.0,90.0,top
SC1,89.0,-103.0,0.0,bottom
SC10,158.0,-103.0,0.0,top
SC11,181.0,-103.0,0.0,top
SC12,204.0,-103.0,0.0,top
SC2,112.0,-103.0,0.0,bottom
SC3,135.0,-103.0,0.0,bottom
SC4,158.0,-103.0,0.0,bottom
SC5,181.0,-103.0,0.0,bottom
SC6,204.0,-103.0,0.0,bottom
SC7,89.0,-103.0,0.0,top
SC8,112.0,-103.0,0.0,top
SC9,135.0,-103.0,0.0,top
U1,226.25,-102.99,0.0,top
